day,low,high,open,close,volume
2021-09-17,47050.0,48825.62,47306.87,48314.56,7491.03449237
2021-09-16,46752.67,48176.64,47753.15,47303.5,9088.56956453
2021-09-15,47020.82,48499.99,48144.03,47753.16,11739.27966629
2021-09-14,46705.0,48475.0,47127.81,48148.12,12139.84206628
2021-09-13,44679.92,47274.92,44953.23,47127.22,12644.16435358
2021-09-12,43465.0,46900.0,46027.8,44947.72,15015.30289712
2021-09-11,44754.31,46462.98,45173.66,46024.23,6499.85821749
2021-09-10,44730.29,45989.94,44850.37,45171.83,6207.38337004
2021-09-09,44140.48,47040.76,46396.26,44851.45,14905.54795341
2021-09-08,45511.82,47400.0,46059.94,46400.0,13594.64633403
2021-09-07,44423.49,47381.47,46894.49,46060.36,19624.55093117
2021-09-06,42830.77,52944.96,52698.8,46894.5,29022.815351
2021-09-05,51020.08,52802.03,51789.17,52698.81,9571.75471136
2021-09-04,49500.0,51907.08,49944.89,51789.17,7743.93472308
2021-09-03,49400.0,50558.75,50025.0,49942.98,7595.48816499
2021-09-02,48349.66,51064.44,49279.38,50025.0,14577.22621879
2021-09-01,48620.73,50392.19,48834.27,49279.37,14120.3826407
2021-08-31,46537.62,49125.0,47110.33,48839.86,13010.83839478
2021-08-30,46708.93,48259.68,46996.8,47112.5,12919.43970212
2021-08-29,46866.0,48906.51,48802.58,46993.71,12249.23741495
2021-08-28,47801.0,49667.1,48942.89,48802.58,6935.09511006
2021-08-27,48370.0,49309.83,49081.08,48942.94,4895.70191319
2021-08-26,46361.01,49185.12,46851.47,49077.57,8924.12247655
2021-08-25,46315.48,49365.1,48991.57,46851.47,11651.34373853
2021-08-24,47122.02,49277.0,47682.45,48987.33,9289.23177109
2021-08-23,47600.0,49875.9,49504.53,47682.45,12068.33823315
2021-08-22,49012.84,50505.0,49284.38,49506.5,10824.26838095
2021-08-21,48102.89,49526.13,48870.21,49284.63,6243.39643384
2021-08-20,48285.28,49821.92,49349.99,48867.02,9574.83615164
2021-08-19,46644.95,49400.0,46769.02,49342.4,13184.67048641
2021-08-18,43955.0,47088.08,44709.1,46765.87,11938.12185013
2021-08-17,44216.47,46035.27,44675.34,44707.98,10327.49887365
2021-08-16,44405.39,47174.62,45903.22,44671.58,12756.14777945
2021-08-15,45676.91,48076.52,47014.38,45902.46,10467.66031475
2021-08-14,45525.19,47400.0,47109.64,47014.49,7745.70200802
2021-08-13,46034.93,48176.52,47833.64,47109.65,8130.36769388
2021-08-12,44249.64,47953.9,44422.15,47833.64,11794.94196257
2021-08-11,43714.36,46223.95,45553.1,44422.14,13169.78176994
2021-08-10,45350.74,46781.09,45601.82,45553.49,11628.32043954
2021-08-09,44650.27,46718.44,46280.0,45595.66,13756.50066875
2021-08-08,42821.3,46497.42,43829.15,46285.48,19464.72493503
2021-08-07,43131.97,45363.83,44628.11,43829.14,18712.27158173
2021-08-06,42457.27,44750.0,42869.59,44637.34,19634.79475606
2021-08-05,39876.74,43399.26,40888.73,42869.58,20425.1145444
2021-08-04,37300.0,41447.89,39718.9,40888.74,28507.85532682
2021-08-03,37509.0,39965.1,38189.4,39722.41,15327.67624669
2021-08-02,37627.21,39785.3,39149.59,38191.44,15094.81739624
2021-08-01,38690.0,40459.68,39859.18,39149.59,12379.41216528
2021-07-31,39426.0,42605.64,41499.0,39865.41,10617.67293456
2021-07-30,41064.11,42414.61,42233.66,41495.01,9351.94288576
2021-07-29,38342.0,42320.57,40039.44,42237.95,15063.2344059
2021-07-28,39229.47,40644.85,40035.1,40039.44,11022.42512817
2021-07-27,38803.34,40925.56,39475.99,40035.1,27198.33358111
2021-07-26,36413.26,39550.0,37262.76,39470.48,24709.10440908
2021-07-25,35251.54,40593.93,35428.25,37262.77,40354.54555841
2021-07-24,33888.89,35451.04,34291.67,35428.26,9434.63002297
